tag_id,tag_name,classification
25,-fiction,1
37,-murder-,1
59,0-love-funny,1
61,0-nonfiction,1
85,008-strategy,1
88,01-distopias,1
90,01-folklore,1
98,02-fantasy,1
99,02-folklore,1
100,02-to-read-speculative-fiction,1
104,03-20thcentury-american-lit,1
105,03-classic-fairy,1
106,03-classic-fairy-tales,1
114,04-preschoolers,1
115,04-realistic-fiction,1
119,05-high-fantasy,1
123,07-hist-fiction,1
124,07-modern-fantasy,1
125,07-まんが-ほか,1
127,08-realistic-fiction,1
130,0nonfiction,1
151,1-children-ya,1
152,1-chronicles,1
153,1-classic-literature,1
155,1-fiction,1
156,1-gen-lit,1
162,1-ladies-detective-agency,1
165,1-manga-manhwa-manhua-series-done,1
208,100-bullets,1
209,100-children-s-books,1
212,100-fiction,1
222,100-year-war,1
223,100-years-war,1
257,1001-children-s-books,1
258,1001-children-s-books-you-must-read,1
259,1001-childrens-books,1
260,1001-comics,1
262,1001-kids-5plus,1
263,1001-kids-8plus,1
264,1001-kids-books,1
294,1100s,1
297,11th-century,1
301,12-dancing-princesses,1
303,12-religious,1
307,12th-century,1
309,12th-grade-books,1
317,13th-century,1
327,14th-century,1
328,14艺术美学,1
334,1500s,1
341,15th-century,1
348,16th-18th-century,1
349,16th-c,1
350,16th-century,1
351,16th-century-setting,1
353,17-children-s-book,1
356,1700s,1
362,17th-century,1
363,17th-century-england,1
364,17th-century-germany,1
371,1800s,1
378,1850s,1
391,18th-c,1
392,18th-century,1
393,18th-century-japan,1
394,18th-century-literature,1
400,1900s,1
401,1900s-farm-life,1
412,1920-30-s-british-period-mystery,1
414,1920s,1
415,1920s-1930s,1
418,1930-s-depression-era,1
420,1930s,1
431,1940s-britain,1
441,1950-s-english-village-life,1
442,1950s,1
443,1950s-america,1
451,1960s-counterculture,1
452,1960s-women-s-status,1
478,1984,1
506,19th,1
507,19th-c,1
508,19th-c-philosophy,1
509,19th-century,1
510,19th-century-american,1
511,19th-century-americans-in-paris,1
512,19th-century-british,1
513,19th-century-british-literature,1
514,19th-century-china,1
515,19th-century-classics,1
516,19th-century-england,1
517,19th-century-fairy-tales,1
518,19th-century-fiction,1
519,19th-century-french-literature,1
520,19th-century-history,1
521,19th-century-lit,1
522,19th-century-literature,1
531,1non-fiction,1
534,1q84,1
543,1st-grade,1
550,1st-person-perspective,1
571,2-non-fiction,1
576,2-states,1
586,20-prey-series,1
589,20-year-old-murder,1
594,200-religion,1
772,2015-children-s-literature-2360,1
810,2016-comics,1
849,2017-bbw-dec,1
862,2017-comics,1
864,2017-fiction,1
873,2017-manga,1
878,2017-new-age,1
907,2017_august_horror,1
908,2017_horror,1
909,2017_horror_tbr_challenge,1
924,20th-century-90s,1
925,20th-century-america,1
926,20th-century-american,1
927,20th-century-american-fiction,1
928,20th-century-classics,1
929,20th-century-drama,1
930,20th-century-fiction,1
931,20th-century-history,1
932,20th-century-lit,1
933,20th-century-literature,1
934,20th-century-post-ww2,1
941,21st-century,1
942,21st-century-australian-literature,1
943,21st-century-fiction,1
944,21st-century-lit,1
946,21st-century_onward,1
950,22-modern-fantasy,1
963,2fiction,1
968,2nd-chance,1
969,2nd-grade,1
977,2nd-world-war,1
980,2states,1
981,2ضباط,1
985,3-5th-grade,1
989,3-deadly-wonders-series,1
990,3-fiction,1
1000,3-mystery-thrillers,1
1001,3-poetry,1
1003,3-short-stories,1
1004,3-sigma-force-series,1
1006,3-sports,1
1019,30-days-of-night,1
1039,39-clues,1
1041,39-clues-series,1
1042,39clues,1
1045,3araby,1
1048,3rd-grade,1
1049,3rd-grade-books,1
1053,3rd-robert-langdon-adventure,1
1067,4-graphic-novels,1
1075,4-sigma-force-series,1
1082,4-women-intertwined-stories,1
1090,40-trashy-novels,1
1094,40k,1
1105,4th-grade,1
1106,4th-grade-books,1
1118,5-poetry,1
1119,5-sigma-force-series,1
1122,5-star-comics,1
1124,5-star-fiction,1
1130,5-thriller,1
1139,50-fantasy,1
1142,50-plays,1
1143,50-shades,1
1144,50-shades-of-grey,1
1146,500-1500-medieval,1
1149,500-women,1
1159,52-non-fiction,1
1160,520-traditional-lit,1
1161,520traditionallit,1
1173,5th-grade,1
1175,5th-graders,1
1183,6-travel-fiction-series,1
1186,600s,1
1188,60s,1
1200,6th-grade,1
1201,6th-grade-books,1
1206,6th-grader-books,1
1208,7-10-year-olds,1
1214,7-nonfiction-reference,1
1218,70-spy-thriller,1
1221,70s,1
1226,7th-grade-books,1
1227,7th-grade-novels,1
1236,800-literature,1
1237,800-poetry,1
1238,80s,1
1240,82-93-children-juvenile-literature,1
1241,822-british-literature-drama,1
1243,8th-grade,1
1244,8th-grade-books,1
1256,900-history-03-1600-1850,1
1257,900s,1
1264,9th-century,1
1272,_comics,1
1285,_poetry,1
1288,_sachbücher,1
1289,_star-wars,1
1293,a-a-fiction,1
1307,a-court-of-thorns-and-roses,1
1311,a-dog-s-life,1
1315,a-fantasy,1
1317,a-feast-for-the-senses,1
1318,a-fiction,1
1323,a-galaxy-far-far-away,1
1324,a-game-of-thrones,1
1326,a-girl-detective,1
1331,a-historical-novel-about-building-t,1
1339,a-little-golden-book,1
1343,a-love-story,1
1345,a-male-fiction,1
1352,a-modern-witch-series,1
1356,a-novel-in-short-stories,1
1366,a-scarpetta-novel,1
1367,a-school-for-villains,1
1368,a-scify,1
1371,a-series-of-unfortunate-events,1
1372,a-shade-of-vampire,1
1373,a-shade-of-vampire-series,1
1376,a-song-of-fire-and-ice,1
1377,a-song-of-ice-and-fire,1
1378,a-spiritual-path,1
1381,a-tale-dark-and-grimm,1
1382,a-thriller-serial-killer,1
1385,a-wicked-saga,1
1399,a_fiction,1
1401,aa-fiction,1
1404,aa-romance,1
1408,aang,1
1415,abandonados,1
1419,abandoned-child,1
1420,abandoned-children,1
1427,abandonment,1
1430,abarat,1
1436,abbi-glines-sea-breeze,1
1444,abduction,1
1445,abduction-lisa-gardner-mystery-susp,1
1446,abductions,1
1449,abenteuer,1
1450,abercrombie,1
1454,abhorsen,1
1457,abilities,1
1461,abnormal-psychology,1
1462,abolition,1
1463,abolitionism,1
1464,abolitionist,1
1466,aboriginal,1
1468,aborigines,1
1476,about-to-read-mystery-thriller,1
1484,abram-s-daughters,1
1487,absolute-boyfriend,1
1493,abstinence,1
1494,absurd,1
1495,absurdism,1
1496,absurdist,1
1498,abundance,1
1499,abuse,1
1500,abused,1
1501,abused-hero,1
1502,abused-heroine,1
1503,abused-women,1
1505,abusive-husbands,1
1506,abusive-relationship,1
1507,abusive-relationships,1
1508,abyssal,1
1510,academia,1
1511,academic,1
1512,academic-non-fiction,1
1513,academic-novels,1
1514,academic-satire,1
1515,academy,1
1516,acadian,1
1517,acceptable-fiction,1
1518,acceptance,1
1520,accidental-pregnancy,1
1525,ace,1
1527,acheron,1
1530,acid-mindtrip,1
1531,acim,1
1533,acquaintance-rape,1
1535,across-the-universe,1
1538,acting,1
1539,acting-plays,1
1540,action,1
1541,action-,1
1542,action-adventure,1
1543,action-adventure-thriller,1
1544,action-and-adventure,1
1545,action-and-suspense,1
1546,action-fiction,1
1547,action-manga,1
1548,action-mystery,1
1549,action-packed,1
1550,action-packed-fantasty,1
1551,action-romance,1
1552,action-suspense,1
1553,action-suspense-thriller,1
1554,action-thriller,1
1555,action-thriller-jack-west-jr,1
1556,action-thriller-mystery,1
1557,action-thrillers,1
1558,actions,1
1559,activism,1
1561,activity-books,1
1570,acw,1
1572,ad-lit,1
1573,adabiat,1
1576,adam-dalgliesh,1
1577,adam-dalgliesh-series,1
1584,adaptation,1
1586,adaptations,1
1590,adapted-to-movie-drama,1
1597,addicted-by-zane,1
1598,addicted-series,1
1599,addiction,1
1600,addiction-in-the-suburbs,1
1601,addiction-recovery,1
1602,addictions,1
1604,addicts,1
1609,adept,1
1618,administração,1
1620,adolescencia,1
1621,adolescent,1
1622,adolescent-girls,1
1623,adolescent-lit,1
1624,adolescent-literature,1
1625,adolescents-unsupervised,1
1629,adoption,1
1630,adoption-and-foster-care,1
1631,adoption-families-foster-homes-love,1
1636,adrenaline-action,1
1642,adult,1
1643,adult-african-american-fiction,1
1644,adult-biography-history,1
1645,adult-books,1
1646,adult-books-for-teens,1
1647,adult-chick-lit,1
1648,adult-christian-fiction,1
1649,adult-contemporary,1
1650,adult-contemporary-romance,1
1651,adult-content,1
1652,adult-cookbook,1
1653,adult-fairy-tales,1
1654,adult-fantasy,1
1655,adult-fare,1
1656,adult-fic-series,1
1657,adult-fic-supernatural,1
1658,adult-fic-vampire,1
1659,adult-fiction,1
1660,adult-historical-fiction,1
1661,adult-historical-mystery,1
1663,adult-lit,1
1664,adult-literature,1
1665,adult-mysteries,1
1666,adult-mystery,1
1667,adult-nf,1
1668,adult-non-fiction,1
1669,adult-nonfiction,1
1670,adult-novels,1
1671,adult-paranormal,1
1672,adult-paranormal-romance,1
1674,adult-picture-books,1
1675,adult-plays,1
1677,adult-reads,1
